################ (Airport Name : PR) ################
(Guam Intl, Guam : 0.00045452988882439685)
(Kuching Intl, Malaysia : 0.00045167839376793347)
(Red Lake Airport, Canada : 0.0004513866316751212)
(Esfahan Shahid Beheshti Intl, Iran : 0.0004505565799033678)
(Laishan, China : 0.00045033981236876407)
(Kigali Intl, Rwanda : 0.0004499211257951185)
(Vityazevo, Russia : 0.0004491991992795853)
(Las Americas Intl, Dominican Republic : 0.00044752898979331533)
(Zhuliany Intl, Ukraine : 0.0004469747615705381)
(Yakutsk, Russia : 0.00044351576463184494)
(Myrtle Beach Intl, United States : 0.0004390225862731901)
(Ahmedabad, India : 0.0004377868400966805)
(Pafos Intl, Cyprus : 0.0004377798629571555)
(Xining Caojiabu Airport, China : 0.00043717854507730977)
(Cadjehoun, Benin : 0.0004357901157486932)
(Billings Logan International Airport, United States : 0.00043533044487440776)
(Sevilla, Spain : 0.00043526092936020243)
(Lijiang Airport, China : 0.00043519931611440174)
(Bari, Italy : 0.00043469228534245526)
(Santa Genoveva, Brazil : 0.000433973388226187)
(Entebbe Intl, Uganda : 0.00043238150668974617)
(Hang Nadim, Indonesia : 0.00043123610500274813)
(Ciampino, Italy : 0.00043047990282468035)
(Ahwaz, Iran : 0.00042941009636260905)
(Sentani, Indonesia : 0.00042780478758053426)
(Eros Airport, Namibia : 0.00042394284233525977)
(Campo Dell Oro, France : 0.0004219475386042054)
(Sangster Intl, Jamaica : 0.00042021074453828006)
(Mount Isa, Australia : 0.00041840181640907315)
(Jersey, Jersey : 0.0004182967586248171)
(Landvetter, Sweden : 0.0004181653482123647)
(Kirkwall, United Kingdom : 0.00041810848345556913)
(Hercilio Luz, Brazil : 0.00041797765719658344)
(Belfast Intl, United Kingdom : 0.0004179691140290129)
(V C Bird Intl, Antigua and Barbuda : 0.00041766213028744464)
(Harare Intl, Zimbabwe : 0.0004172227356469586)
(Ugnu-Kuparuk Airport, United States : 0.0004172095604301402)
(Manas, Kyrgyzstan : 0.00041623300953179377)
(Zvartnots, Armenia : 0.0004158839640757548)
(Jacksonville Intl, United States : 0.0004115347877435239)
(Jose Maria Cordova, Colombia : 0.0004102904944125286)
(Ouagadougou, Burkina Faso : 0.0004083480114417369)
(Prince Mohammad Bin Abdulaziz, Saudi Arabia : 0.00040791743947382587)
(Nurnberg, Germany : 0.00040689363772034525)
(Lech Walesa, Poland : 0.00040667070188057453)
(Dyce, United Kingdom : 0.00040566185408468457)
(Souda, Greece : 0.0004035383348705361)
(Bandar Abbass Intl, Iran : 0.00040039281540230043)
(Southampton, United Kingdom : 0.00040037543342430113)
(Olaya Herrera, Colombia : 0.00040019322611713594)
(Sondre Stromfjord, Greenland : 0.0003986458989953317)
(Louisville International Airport, United States : 0.00039858987030569955)
(Will Rogers World, United States : 0.00039840159450936713)
(La Aurora, Guatemala : 0.0003978686904711837)
(Irkutsk, Russia : 0.0003975136896897679)
(Wuxi Airport, China : 0.0003969962845962441)
(Maputo, Mozambique : 0.0003967783552709218)
(Governador Jorge Teixeira De Oliveira, Brazil : 0.00039534684436620204)
(Sharm El Sheikh Intl, Egypt : 0.0003945659062372735)
(Neuenland, Germany : 0.0003934280200176011)
(Pampulha Carlos Drummond De Andrade, Brazil : 0.00039286095522889216)
(Edward G Pitka Sr, United States : 0.00039072879499788655)
(Thiruvananthapuram Intl, India : 0.0003845772705985546)
(Wattay Intl, Laos : 0.0003835686958689528)
(Licenciado Gustavo Diaz Ordaz Intl, Mexico : 0.00038330596958819946)
(Bradley Intl, United States : 0.00038227127091295537)
(Tokua Airport, Papua New Guinea : 0.00038102450684163994)
(Zagreb, Croatia : 0.0003808937461965594)
(Skavsta, Sweden : 0.0003798959169152361)
(Goiabeiras, Brazil : 0.00037872660120712696)
(Kurumoch, Russia : 0.0003784051510716251)
(Providenciales, Turks and Caicos Islands : 0.00037765280389036944)
(Kazan, Russia : 0.00037763702825586423)
(Cardiff, United Kingdom : 0.00037763564599724796)
(St Petersburg Clearwater Intl, United States : 0.0003772544304556217)
(Torp, Norway : 0.00037631313821694426)
(Mount Hagen, Papua New Guinea : 0.00037603198479220945)
(Narsarsuaq, Greenland : 0.0003758529208393802)
(Sam Ratulangi, Indonesia : 0.0003757911759550253)
(Bodrum - Milas, Turkey : 0.0003743396838080846)
(Pashkovskiy, Russia : 0.000370341712504741)
(Firenze, Italy : 0.00037031021913226767)
(Siem Reap, Cambodia : 0.000370083736250953)
(Santarem, Brazil : 0.00036901450642351085)
(Piarco, Trinidad and Tobago : 0.0003674689409735583)
(Durban Intl, South Africa : 0.0003672033940754012)
(St Denis Gillot, Reunion : 0.0003670269878062643)
(St Johns Intl, Canada : 0.0003666554173075517)
(Grantley Adams Intl, Barbados : 0.0003665009076378639)
(Sungshan, Taiwan : 0.0003663865105058006)
(Cambridge Bay, Canada : 0.0003659482127866536)
(Danang Intl, Vietnam : 0.00036582700545402384)
(Campo Grande, Brazil : 0.0003648438510085411)
(Nadzab, Papua New Guinea : 0.00036439761614778863)
(Es Senia, Algeria : 0.000363424010141046)
(Waskaganish Airport, Canada : 0.0003623496951589962)
(Dongshan, China : 0.0003619231370951386)
(Fort Yukon, United States : 0.0003610669807849916)
(Toncontin Intl, Honduras : 0.00036087843076883187)
(Pristina, Serbia : 0.000360796524188525)
(Munda Airport, Solomon Islands : 0.00035990437691743246)
(Moss, Norway : 0.00035961689377978607)
